age,treatment,event,event_type
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
958.0541666666667,Female/20x,1,0
914.3488888888888,Female/40x,1,1
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
